,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,apin,decane,toluene,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
72,269.00191004400006,25,6,11,1,2,192.0,40.0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0
73,247.069201756,30,9,7,1,1,69.0,40.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
74,200.104858992,30,10,4,0,1,120.0,40.0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
75,205.022251564,21,6,7,1,2,42.0,14.0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
76,166.01135253200002,17,4,7,0,4,94.0,6.0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0
77,220.021917216,23,7,8,0,3,108.0,1.0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0
78,263.02773086800005,27,8,9,1,1,178.0,40.0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
79,281.997159012,25,6,11,2,1,32.0,10.0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
80,175.995702468,16,5,7,0,2,22.0,5.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
81,188.032087976,21,7,6,0,1,14.0,3.0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
82,311.971338188,25,6,13,2,2,174.0,40.0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0
83,310.97608922,26,7,13,1,2,264.0,40.0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
84,315.00738934799995,30,7,13,1,4,421.0,9.0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0
85,312.991739284,28,7,13,1,2,191.0,14.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0
86,344.03393844399994,35,8,13,2,2,444.0,40.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0
87,278.98625998,24,7,11,1,2,87.0,40.0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
88,296.049194584,32,8,10,2,1,96.0,40.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
89,269.001910044,25,6,11,1,5,99.0,26.0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0
90,281.001910044,26,7,11,1,1,118.0,39.0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0
91,293.038295552,31,9,10,1,1,344.0,40.0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0
92,191.0066015,18,5,7,1,1,8.0,8.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
93,265.07976644,33,9,8,1,2,403.0,40.0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
94,310.97608922,26,7,13,1,1,78.0,31.0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0
95,252.011746456,25,7,10,0,4,214.0,5.0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0
96,313.986988252,27,6,13,2,2,209.0,40.0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,2,0,0
97,278.98625998000006,24,7,11,1,2,107.0,10.0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0
98,328.00263831599995,30,7,13,2,3,66.0,5.0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,1,1,0,0
99,310.97608921999995,26,7,13,1,3,281.0,8.0,0,0,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0
100,249.08485182,32,9,7,1,2,85.0,17.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
101,248.97569529600003,20,6,10,1,1,55.0,40.0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0
102,328.00263831599995,30,7,13,2,3,160.0,8.0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
103,206.04265266,24,7,7,0,3,29.0,6.0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0
104,206.006267152,20,6,8,0,3,166.0,14.0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
105,160.996036816,14,4,6,1,0,4.0,4.0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
106,253.043380932,28,7,9,1,3,589.0,10.0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0
107,234.99643074,21,6,9,1,1,38.0,36.0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
108,194.006267152,19,5,8,0,3,336.0,27.0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0
109,252.97060991600003,20,5,11,1,1,17.0,7.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
110,282.9811746,24,6,12,1,2,204.0,40.0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0
111,299.012474728,29,7,12,1,3,344.0,40.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0
112,240.970609916,19,4,11,1,2,110.0,32.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
113,312.007723696,29,7,12,2,2,407.0,40.0,0,0,1,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0
114,217.022251564,22,7,7,1,2,17.0,6.0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
115,341.9819028719999,29,7,14,2,1,48.0,23.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
116,280.054279964,31,8,9,2,1,152.0,40.0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
117,257.00191004400006,24,5,11,1,4,564.0,11.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
118,174.089208928,26,8,4,0,1,33.0,24.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
119,328.00263831599995,30,7,13,2,4,810.0,31.0,0,0,1,0,0,2,1,1,1,0,0,1,1,0,0,0,1,0,0
120,361.9717321119999,30,6,16,2,3,469.0,40.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0
121,343.9975529359999,31,7,14,2,4,410.0,27.0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,1,0,1,0,0
122,226.99134536000005,20,4,10,1,2,216.0,40.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
123,312.007723696,29,7,12,2,1,131.0,40.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
124,234.073952788,30,9,7,0,3,430.0,14.0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
125,218.006267152,21,7,8,0,2,1.0,1.0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0
126,292.090665472,36,10,8,2,1,59.0,31.0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
127,361.9717321119999,30,6,16,2,2,302.0,40.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
128,186.016437912,19,7,6,0,2,35.0,22.0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
129,249.012080804,24,7,9,1,2,42.0,16.0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
130,309.06959568,36,10,10,1,3,931.0,40.0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0
131,236.016831836,24,7,9,0,3,348.0,32.0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
132,315.00738934799995,30,7,13,1,4,750.0,7.0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,1,2,0,0
133,279.095416504,36,10,8,1,2,482.0,40.0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
134,271.976423568,22,4,12,2,1,80.0,32.0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0
135,190.011352532,19,6,7,0,2,107.0,33.0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0
136,251.027730868,26,7,9,1,3,179.0,20.0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
137,253.043380932,28,7,9,1,2,160.0,10.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
138,220.980780676,18,5,9,1,1,21.0,12.0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0
139,370.049588508,39,10,13,2,2,635.0,40.0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
140,300.007723696,28,6,12,2,3,401.0,40.0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0
141,237.012080804,23,6,9,1,3,126.0,2.0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
142,298.97608922,25,6,13,1,3,465.0,12.0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0
143,297.992073632,26,6,12,2,1,285.0,40.0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0
144,328.00263831599995,30,7,13,2,4,961.0,40.0,0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,1,0,0
145,222.001181772,21,6,9,0,3,350.0,40.0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0
146,322.064844648,36,10,10,2,1,307.0,40.0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0
147,225.012080804,22,5,9,1,1,210.0,40.0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0
148,312.991739284,28,7,13,1,3,203.0,36.0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0
149,296.996824664,27,7,12,1,3,104.0,5.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0
150,265.006995424,25,7,10,1,2,225.0,40.0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0
151,341.9819028719999,29,7,14,2,2,350.0,28.0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0
152,234.99643074,21,6,9,1,1,23.0,8.0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
153,312.007723696,29,7,12,2,4,507.0,40.0,0,0,1,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0
154,266.98625998000006,23,6,11,1,3,490.0,40.0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0
155,294.9811746,25,7,12,1,2,165.0,20.0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
156,194.006267152,19,5,8,0,2,72.0,15.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0
157,269.00191004400006,25,6,11,1,2,118.0,40.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0
158,296.960439156,23,6,13,1,2,47.0,4.0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0
159,341.9819028719999,29,7,14,2,1,127.0,40.0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0
160,236.016831836,24,7,9,0,3,212.0,14.0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0
161,357.9768174919999,30,7,15,2,3,189.0,40.0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,1,1,0,0,0
162,160.03717335599998,19,6,5,0,2,24.0,12.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
163,265.07976644,33,9,8,1,1,104.0,40.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
164,259.06920175600004,31,10,7,1,0,63.0,40.0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
165,310.97608922,26,7,13,1,3,235.0,32.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
166,238.99134536000005,21,5,10,1,2,177.0,25.0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0
167,225.012080804,22,5,9,1,2,156.0,34.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1
168,280.017894456,27,7,10,2,1,102.0,40.0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0
169,341.9455173639999,25,6,15,2,0,53.0,40.0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0
170,299.01247472800003,29,7,12,1,3,689.0,40.0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0
171,204.027002596,22,7,7,0,3,137.0,3.0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
172,206.006267152,20,6,8,0,2,132.0,40.0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0
173,299.012474728,29,7,12,1,4,101.0,10.0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0
174,246.99643074,22,7,9,1,1,23.0,11.0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
175,259.06920175600004,31,10,7,1,0,77.0,40.0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
176,191.990617088,17,5,8,0,2,30.0,16.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
177,242.02739652,26,6,10,0,5,668.0,40.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0
178,342.054673888,37,9,12,2,2,313.0,40.0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0
179,219.985531708,19,6,9,0,2,112.0,21.0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0
180,338.05975926799994,37,10,11,2,1,393.0,40.0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0
181,264.97060991600006,21,6,11,1,2,24.0,9.0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0
182,262.99134536,23,7,10,1,1,218.0,40.0,0,0,1,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0
183,224.975695296,18,4,10,1,3,50.0,3.0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
184,265.006995424,25,7,10,1,2,39.0,17.0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0
185,267.022645488,27,7,10,1,3,219.0,6.0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0
186,293.997159012,26,7,11,2,2,176.0,40.0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
187,283.017560108,28,7,11,1,4,143.0,1.0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0
188,282.069930028,33,8,9,2,1,109.0,40.0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
189,281.00191004400006,26,7,11,1,2,474.0,40.0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
190,296.012809076,28,7,11,2,2,217.0,24.0,0,0,1,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0
191,246.99643074,22,7,9,1,1,32.0,17.0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
192,240.01174645600005,24,6,10,0,5,197.0,9.0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,0
193,175.99570246800002,16,5,7,0,2,21.0,7.0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0
194,178.01135253200002,18,5,7,0,3,62.0,10.0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0
195,235.069201756,29,8,7,1,2,531.0,40.0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
196,235.032816248,25,7,8,1,2,218.0,40.0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
197,306.069930028,35,10,9,2,1,10.0,4.0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0
198,269.001910044,25,6,11,1,3,307.0,7.0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0
199,215.990617088,19,7,8,0,1,25.0,12.0,0,0,1,1,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0
200,222.073952788,29,8,7,0,3,96.0,12.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
201,209.053551692,25,6,7,1,2,262.0,40.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
202,266.98625998,23,6,11,1,2,125.0,28.0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
203,250.99134536000005,22,6,10,1,2,39.0,3.0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0
204,370.0495885079999,39,10,13,2,2,733.0,40.0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0
205,237.012080804,23,6,9,1,3,213.0,10.0,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0
206,223.069201756,28,7,7,1,2,281.0,40.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
207,310.02845914,31,8,11,2,1,144.0,40.0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0
208,176.032087976,20,6,6,0,2,44.0,13.0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
209,206.006267152,20,6,8,0,3,49.0,20.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
